clientId,page_url,timestamp,event_name,event_data,user_agent,client_id,referrer,client_id_canonical
1741046373-Eeh7lBEUvuK3,https://puffy.com/blogs/best-sleep/is-the-puffy-mattress-comfortable,2025-03-04T00:00:03.182Z,page_viewed,,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,1741046373-Eeh7lBEUvuK3
1741046444-McZPPSN1uk5O,https://puffy.com/blogs/best-sleep/why-is-my-electric-blanket-flashing,2025-03-04T00:00:49.103Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",,,1741046444-McZPPSN1uk5O
1741046511-wRGlCE7d8qBo,https://puffy.com/products/puffy-topper?irclickid=A60036&utm_source=5709B4&utm_medium=7B4C8A&clickid=A60036&sharedid=D41D8C&iradid=139F4C&im_ref=A60036&irgwc=C4CA42,2025-03-04T00:01:53.488Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",,,1741046511-wRGlCE7d8qBo
1741046515-h0QnKEqrMNWY,https://puffy.com/sleep-score?oid=ECCBC8&affid=C81E72&sub1=E9A786&sub2=0F8EF6&sub3=F9D06E&fbclid=308CF7&utm_source=26CAE7&utm_medium=76E084&campaign_id=E9A786&ad_id=F9D06E&utm_id=E9A786&utm_content=F9D06E&utm_term=0F8EF6&utm_campaign=E9A786,2025-03-04T00:01:57.073Z,page_viewed,,"Mozilla/5.0 (Linux; Android 14; SM-F741U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.117 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/502.0.0.66.79;IABMV/1;]",,,1741046515-h0QnKEqrMNWY
1741046534-NRKoNaXQwCVK,https://puffy.com/products/puffy-mattress?utm_source=175C1C&utm_medium=7B4C8A&utm_campaign=588793&utm_content=6B9AED,2025-03-04T00:02:16.820Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",,,1741046534-NRKoNaXQwCVK
1737335139-YhZwoo4o9g8R,https://puffy.com/products/puffy-mattress?utm_content=12926E&utm_source=BABF38&utm_medium=7B4C8A&utm_campaign=72219C&amp_device_id=4612BC&oid=167909&affid=9BF31C&sub1=72AD88&sub2=809EB1&sub3=BABF38&sub4=21AD0B&msclkid=25E7E4,2025-03-04T00:02:47.022Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",,,1737335139-YhZwoo4o9g8R
1741046592-_IsbxNzZK-0L,https://puffy.com/?irclickid=206DFB&utm_source=C414B0&utm_medium=7B4C8A&clickid=206DFB&sharedid=D41D8C&iradid=139F4C&im_ref=206DFB&irgwc=C4CA42,2025-03-04T00:03:18.099Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",,,1741046592-_IsbxNzZK-0L
1739335187-yv9S5wGkKuMk,https://puffy.com/cart,2025-03-04T00:03:56.054Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",,,1739335187-yv9S5wGkKuMk
1741046645-XeYo49i0hvjh,https://puffy.com/products/puffy-mattress?utm_content=31C5BF&utm_source=BABF38&utm_medium=7B4C8A&utm_campaign=1D957A&amp_device_id=352FCD&oid=167909&affid=9BF31C&sub1=C166DA&sub2=4E602B&sub3=4AF2A3&sub4=910955&oid=167909&affid=9BF31C&sub1=72AD88&sub2=809EB1&sub3=BABF38&sub4=21AD0B&msclkid=93C078&_gl=917189&kind=2E1B1F,2025-03-04T00:04:08.742Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",,,1741046645-XeYo49i0hvjh
1741046677-rjbbpdfzOvUK,https://puffy.com/products/puffy-mattress?set_view=32617F&utm_campaign=C3F4C3&kind=C3F4C3&oid=ECCBC8&affid=E4DA3B&sub1=5CDCB8&sub2=D41D8C&sub3=D41D8C&gad_source=C4CA42&gclid=0DBB6E,2025-03-04T00:05:51.039Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",,,1741046677-rjbbpdfzOvUK
