client_id,page_url,referrer,timestamp,event_name,event_data,user_agent,clientId,client_id_canonical
1739368096-O8QKGrZkgsBf,https://puffy.com/products/puffy-zen-bed-frame?size=72545F&sfdr_ptcid=1A9D1D&sfdr_hash=011128&fbclid=916729&utm_source=26CAE7&utm_medium=76E084&campaign_id=9BA155&ad_id=43033F,https://source-603bdc25.com/,2025-02-24T00:00:02.347Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone15,5;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/701052781;IABMV/1]",,1739368096-O8QKGrZkgsBf
1740355175-_3sY7EzlXodR,https://puffy.com/products/puffy-mattress,,2025-02-24T00:00:16.316Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",,1740355175-_3sY7EzlXodR
1740269078-3YLzCS00i6hA,https://puffy.com/cart,,2025-02-24T00:00:36.848Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",,1740269078-3YLzCS00i6hA
1740355176-sedPHT9ptQTK,https://puffy.com/cart,,2025-02-24T00:00:43.436Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21F90 [FBAN/FBIOS;FBAV/445.0.0.35.117;FBBV/548375166;FBDV/iPhone15,3;FBMD/iPhone;FBSN/iOS;FBSV/17.5.1;FBSS/3;FBID/phone;FBLC/vi_VN;FBOP/5;FBRV/555570286]",,1740355176-sedPHT9ptQTK
,https://puffy.com/products/puffy-mattress?size=2C2D2C&irclickid=AFF2A8&utm_source=F5E243&utm_medium=7B4C8A&clickid=AFF2A8&sharedid=D41D8C&iradid=139F4C&im_ref=AFF2A8&irgwc=C4CA42,,2025-02-24T00:00:46.121Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",,
1740321214-wTnOMnPT4Xwt,https://puffy.com/products/puffy-adjustable-base?size=BDBEDF,,2025-02-24T00:00:56.470Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",,1740321214-wTnOMnPT4Xwt
1740354406-05uJBqjzNLCr,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSk1US1pES1AzMVhIRDdURlNEUjg2NFBK/processing,https://puffy.com/,2025-02-24T00:01:04.976Z,page_viewed,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",,1740354406-05uJBqjzNLCr
1740354406-05uJBqjzNLCr,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSk1US1pES1AzMVhIRDdURlNEUjg2NFBK/processing,https://puffy.com/,2025-02-24T00:01:08.713Z,page_viewed,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",,1740354406-05uJBqjzNLCr
1740354406-05uJBqjzNLCr,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSk1US1pES1AzMVhIRDdURlNEUjg2NFBK/processing?completed=B326B5&reload_receipt=B326B5&skip_shop_pay=B326B5,,2025-02-24T00:01:09.971Z,page_viewed,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",,1740354406-05uJBqjzNLCr
1740354406-05uJBqjzNLCr,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSk1US1pES1AzMVhIRDdURlNEUjg2NFBK/thank-you,,2025-02-24T00:01:10.768Z,page_viewed,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",,1740354406-05uJBqjzNLCr
