clientId,page_url,referrer,timestamp,event_name,event_data,user_agent
1740247773-NRwxXSTCOkvC,https://puffy.com/products/puffy-sheets?size=2C2D2C&color=4E8723,https://source-ae48abb4.com/,2025-02-27T00:00:00.612Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1740613034-J5iSGYUmqckU,https://puffy.com/pages/puffy-mattress-and-puffy-lux,,2025-02-27T00:00:06.599Z,product_added_to_cart,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
1740614292-kDFQfj6VPqgp,https://puffy.com/products/puffy-mattress?utm_source=4DD6A7&utm_medium=7B4C8A&utm_campaign=825A96&utm_content=2DEE62&oid=C81E72&affid=ECCBC8&sub1=8046BD&sub2=D41D8C&sub3=D41D8C&gad_source=C4CA42&gclid=81FDF0&amp_device_id=E67555&_gl=BA93D6&size=2C2D2C,https://source-4dd6a785.com/top10fm/?oid=2&affid=3&sub1=20642289977&sub2=&sub3=&gad_source=1&gclid=CjwKCAiAlPu9BhAjEiwA5NDSAw0WKto-7YQQsVC4XBKoHWUVAQrtGOnGKRkJF7haPgfDRk8Do1W3XRoCnpQQAvD_BwE,2025-02-27T00:00:19.443Z,page_viewed,,"Mozilla/5.0 (Linux; Android 13; P65 Build/TP1A.220624.014) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.121 Mobile Safari/537.36"
1740614429-ssgN-fWtX25d,https://puffy.com/products/puffy-mattress?set_view=32617F&oid=ECCBC8&affid=E4DA3B&sub1=52F3FA&sub2=B5DD3A&sub3=64B516&gad_source=C4CA42&gbraid=4E1F32,,2025-02-27T00:00:30.548Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1740614443-o5sxdvMDjDKs,https://puffy.com/blogs/best-sleep/bleach-on-mattress,https://checkout.puffy.com/,2025-02-27T00:00:49.285Z,page_viewed,,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.53 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
1740614440-6xppHLihSCJA,https://puffy.com/products/puffy-lux-mattress?type=24EA74&irclickid=4C1DD5&utm_source=921888&utm_medium=7B4C8A&clickid=4C1DD5&sharedid=D41D8C&iradid=139F4C&im_ref=4C1DD5&irgwc=C4CA42,,2025-02-27T00:00:52.136Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1"
1740614462-0vKOTmF1Mx68,https://puffy.com/products/puffy-lux-mattress?size=E9DC92&sfdr_ptcid=F29489&sfdr_hash=68218B&oid=ECCBC8&affid=E4DA3B&sub1=7EABC2&sub2=D41D8C&sub3=D41D8C&gad_source=C4CA42&gbraid=BB72FC&gclid=11A49D,,2025-02-27T00:01:04.029Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/137.2.345735309 Mobile/15E148 Safari/604.1"
1740613514-u8BGFMsjbkzv,https://puffy.com/blogs/best-sleep/how-to-remove-static-from-blanket,https://www.google.com.hk/,2025-02-27T00:01:21.873Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1740614479-1Z4UiUi2hxQV,https://puffy.com/products/puffy-mattress-pad?irclickid=82F04C&utm_source=2B07B6&utm_medium=7B4C8A&clickid=82F04C&sharedid=D41D8C&iradid=139F4C&im_ref=82F04C&irgwc=C4CA42,,2025-02-27T00:01:25.030Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
1740614252-pKyB1wM0ixiF,https://puffy.com/products/puffy-mattress-pad?srsltid=EF7975,https://www.google.com/,2025-02-27T00:01:35.038Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
