clientId,page_url,referrer,timestamp,event_name,event_data,user_agent
1740173721-8johuwF2wXBU,https://puffy.com/blogs/best-sleep/difference-between-cal-king-and-eastern-king-beds,,2025-02-28T00:01:07.370Z,page_viewed,,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.53 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
1740700875-2H9BarWAO_Bc,https://puffy.com/pages/unboxing-your-puffy-mattress?variation=D41D8C&utm_source=7AA49B&utm_medium=9A780E&utm_campaign=6914A8&utm_content=D7E4C0&bxid=B03ADF&_kx=18EFC6,,2025-02-28T00:01:16.205Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1740698008-_7WEw9tKqSlN,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSk40WEs2QUVQQjJQSzg0U1gzTjZQSlQ1/processing?completed=B326B5&reload_receipt=68934A&skip_shop_pay=B326B5,,2025-02-28T00:01:49.983Z,page_viewed,,"Mozilla/5.0 (iPad; CPU OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1"
1740698008-_7WEw9tKqSlN,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSk40WEs2QUVQQjJQSzg0U1gzTjZQSlQ1/thank-you,,2025-02-28T00:01:50.119Z,page_viewed,,"Mozilla/5.0 (iPad; CPU OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1"
1740698008-_7WEw9tKqSlN,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSk40WEs2QUVQQjJQSzg0U1gzTjZQSlQ1/thank-you,,2025-02-28T00:01:50.151Z,checkout_completed,"{""transaction_id"":""ORD-20250228-067"",""revenue"":245,""items"":[{""item_id"":""Q-TOPPR-F-22"",""item_name"":""Puffy Deluxe Mattress Topper"",""item_variant"":""Firm / Queen  -  (60\""W x 80\""L x 2.5\""H)"",""quantity"":1,""item_price"":245}],""user_email"":""579372c2b61b999e065e77ac7a3114bfaf2dbf154a9cd4aa2d08baa77006f2c5""}","Mozilla/5.0 (iPad; CPU OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1"
1740644154-OcjICjsjdV_u,https://puffy.com/blogs/best-sleep/flannel-vs-polyester-blanket,https://checkout.puffy.com/,2025-02-28T00:02:51.832Z,page_viewed,,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
1739909612-SJw5ZuCpSJeQ,https://puffy.com/cart,,2025-02-28T00:03:31.675Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
1740701072-rC6hRFI3ZNIG,https://puffy.com/products/puffy-zen-bed-frame?size=72545F&sfdr_ptcid=1A9D1D&sfdr_hash=011128&media_type=78805A&oid=ECCBC8&affid=C81E72&sub1=ECE0AD&sub2=4BC0A7&sub3=01642D&fbclid=DC0947&utm_source=26CAE7&utm_medium=76E084&campaign_id=ECE0AD&ad_id=01642D&utm_id=ECE0AD&utm_content=01642D&utm_term=4BC0A7&utm_campaign=ECE0AD,https://source-603bdc25.com/,2025-02-28T00:04:33.992Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone17,1;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/702442338;IABMV/1]"
1740700465-29Su8EgtcUXa,https://checkout.puffy.com/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSk40WENZUUhOUDkxMUdFRDJGRkU2Qjc2,https://checkout.puffy.com/,2025-02-28T00:05:34.586Z,checkout_started,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"
1740681492-ySZBPwZlHCCN,https://puffy.com/products/puffy-mattress,,2025-02-28T00:05:54.958Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
