clientId,page_url,timestamp,event_name,event_data,user_agent
1741390638-6fBi-mfJuaUw,https://puffy.com/products/puffy-blanket?size=3A69B3,2025-03-08T00:00:27.499Z,product_added_to_cart,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) (Affirm-iOS-3.281.1-4030)"
1741174463-WQjJON3wQM7C,https://puffy.com/products/puffy-lux-mattress,2025-03-08T00:00:44.579Z,page_viewed,,"Mozilla/5.0 (Linux; Android 14; SM-S901U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.64 Mobile Safari/537.36  Instabridge/22"
1741202286-XKGecQby6qyp,https://puffy.com/products/puffy-zen-bed-frame?oid=ECCBC8&affid=C81E72&sub1=9BA155&sub2=64BB51&sub3=43033F&utm_medium=76E084&utm_id=9BA155&utm_content=43033F&utm_term=64BB51&utm_campaign=9BA155&fbclid=232E18&utm_source=26CAE7&campaign_id=9BA155&ad_id=43033F,2025-03-08T00:00:58.595Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 Instagram 366.0.0.20.91 (iPhone16,1; iOS 18_3_1; en_US; en; scale=3.00; 1179x2556; 692589157; IABMV/1)"
1741199804-DT6EfiA9qEgL,https://puffy.com/,2025-03-08T00:01:02.090Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1741323024-QfVOhzDFQY9l,https://puffy.com/products/puffy-royal-mattress?step=ECCBC8,2025-03-08T00:01:06.235Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1741392096-u7qPQvUVU0uS,https://puffy.com/products/puffy-mattress?utm_content=854719&utm_source=BABF38&utm_medium=7B4C8A&utm_campaign=C7B043&amp_device_id=87F2CA&oid=167909&affid=9BF31C&sub1=61D312&sub2=831873&sub3=985A5C&sub4=910955&oid=167909&affid=9BF31C&sub1=72AD88&sub2=0E407B&sub3=BABF38&sub4=21AD0B&msclkid=123976&_gl=BB4978,2025-03-08T00:01:40.991Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"
1741391498-SoH8n2o5dphQ,https://puffy.com/products/puffy-royal-mattress?size=BDBEDF,2025-03-08T00:01:46.088Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
1741353072-qvQ1ugQ0pLZp,https://puffy.com/products/puffy-lux-mattress?kind=2E1B1F,2025-03-08T00:02:09.875Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"
1741353072-qvQ1ugQ0pLZp,https://puffy.com/products/puffy-sheets,2025-03-08T00:02:40.498Z,page_viewed,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"
1741390796-cCTRL-20s3Kh,https://puffy.com/products/puffy-mattress?step=C81E72&mattress=579817&size=37A625&scrollTop=C4CA42,2025-03-08T00:02:51.990Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36"
1741392082-sVV7LZIyabRK,https://puffy.com/products/puffy-pillow?oid=ECCBC8&affid=E4DA3B&sub1=06ABE4&sub2=F19DC5&sub3=ED26EB&gad_source=C4CA42&gclid=21F63C,2025-03-08T00:02:53.123Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36"
1741224249-FLZlQfnx69M1,https://puffy.com/products/puffy-mattress?size=719EF2,2025-03-08T00:03:04.206Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36"
1741392216-c8DJWxouAsAE,https://puffy.com/blogs/wellness/sleep-calculator-want-to-know-the-best-time-to-sleep-wake-up,2025-03-08T00:03:39.085Z,page_viewed,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"
1741392082-sVV7LZIyabRK,https://puffy.com/products/puffy-pillow?oid=ECCBC8&affid=E4DA3B&sub1=06ABE4&sub2=F19DC5&sub3=EF1EBC&gad_source=C4CA42&gclid=21F63C&size=719EF2,2025-03-08T00:04:14.282Z,product_added_to_cart,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36"
1741392082-sVV7LZIyabRK,https://puffy.com/cart,2025-03-08T00:04:17.738Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36"
1741392082-sVV7LZIyabRK,https://puffy.com/products/puffy-topper,2025-03-08T00:05:19.395Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36"
1741390796-cCTRL-20s3Kh,https://puffy.com/,2025-03-08T00:05:37.316Z,page_viewed,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36"
